	Mass	       Radius	   Mag Field	 Alpha_BL	Mdot		Epsilon		GammaPhi	Delta	   Deltanu/1000	      Nu1	   DNu/Nu1	  Delta*R_in	R_in/R_ISCO    R_in/R_*
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.52791E-02    4.87267E-02    1.37505E-01    1.13339E-01    3.07929E-01    5.56863E-01    5.52971E-01    3.30205E-01    6.55192E+00    2.64857E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    4.85681E-02    5.65801E-02    1.92017E-01    1.31607E-01    2.87309E-01    6.58824E-01    4.36094E-01    3.49957E-01    5.98001E+00    2.41738E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    4.85681E-02    4.86664E-02    1.63648E-01    1.13199E-01    3.21570E-01    6.96078E-01    4.61974E-01    3.01009E-01    5.98001E+00    2.41738E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    4.88845E-02    5.45835E-02    1.85707E-01    1.26962E-01    2.95752E-01    6.71569E-01    4.40390E-01    3.36981E-01    5.96893E+00    2.41289E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    4.88845E-02    5.35960E-02    1.80923E-01    1.24665E-01    3.01545E-01    6.74510E-01    4.47058E-01    3.30885E-01    5.96893E+00    2.41289E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    4.88845E-02    5.62248E-02    1.93312E-01    1.30780E-01    2.86542E-01    6.65686E-01    4.30446E-01    3.47114E-01    5.96893E+00    2.41289E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    4.88845E-02    5.45574E-02    1.82789E-01    1.26902E-01    2.99286E-01    6.67647E-01    4.48270E-01    3.36820E-01    5.96893E+00    2.41289E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    4.88845E-02    5.01785E-02    1.63736E-01    1.16716E-01    3.22360E-01    6.81373E-01    4.73104E-01    3.09786E-01    5.96893E+00    2.41289E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    4.88845E-02    5.63097E-02    1.91636E-01    1.30978E-01    2.88571E-01    6.62745E-01    4.35418E-01    3.47639E-01    5.96893E+00    2.41289E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    4.92009E-02    5.24367E-02    1.81499E-01    1.21969E-01    3.01681E-01    6.89216E-01    4.37716E-01    3.23131E-01    5.95794E+00    2.40845E+00
